sensor_1,sensor_2,weight,pearson_corr,spearman_corr
1,2,371.6,0.8711782548179934,0.8517717654870613
2,4,338.1,0.8511726759890125,0.83869880644464
3,16,382.4,0.9463831917587265,0.8879571603425973
4,76,429.0,0.9199549455094818,0.88867771036154
4,30,236.8,0.758563339813273,0.7669823797254322
4,14,178.6,0.8946988588321063,0.8317538610383762
5,18,402.2,0.9572862693484928,0.9134715655217346
6,149,417.8,0.9196076645838112,0.8732917964528176
6,22,254.0,0.9141471819582135,0.8407673297213863
6,14,289.3,0.8906950914915754,0.8172848138493183
7,114,323.1,0.9142958433937822,0.873392409592217
7,40,624.1,0.7947897090055601,0.7082274837386848
8,117,816.2,0.8246595042973727,0.8005558445064836
8,42,759.5,0.8915218791868865,0.8555971731085127
8,41,657.4,0.8299110432465941,0.7410416665782984
8,13,450.3,0.8705834126900703,0.7662737009732696
9,153,310.6,0.7234017951123475,0.7254180015346281
9,129,148.3,0.8616669897934193,0.8724478194245168
9,128,142.2,0.7974745001256589,0.7284547457708275
11,28,336.0,0.9391853412815954,0.9081227341841027
12,139,328.8,0.8360823523540355,0.8068021536776753
13,40,327.4,0.9139353592666973,0.7946141838976605
13,169,326.2,0.6862749795652308,0.6076834476534839
13,7,305.5,0.6966163757778157,0.5868173346935327
13,42,319.8,0.80165310639234,0.7007446287965706
13,117,378.5,0.8154415978169675,0.761543127504218
14,39,340.2,0.9287638670296469,0.8760432274949477
14,149,259.0,0.9153768801336726,0.8367265672128261
14,76,299.0,0.8656875265604888,0.7974848474199873
14,52,127.6,0.9079474475331849,0.8122669087838994
14,127,314.8,0.7829009169354278,0.7427581648013215
15,44,339.5,0.9202460677902728,0.9139032377457075
15,151,136.4,0.8711362926706204,0.8719580396317161
15,152,135.0,0.9486722540455635,0.9389055228413385
17,5,321.4,0.920707128251171,0.8562430079633001
17,153,375.6,0.6890404503421934,0.6779124387730268
17,154,294.2,0.6122217365176867,0.6029781593824564
18,22,447.4,0.9488788257857756,0.8928191491498414
18,6,499.4,0.8776660814533062,0.80948952222963
18,109,439.1,0.9246905200701531,0.8552066716629032
19,14,351.3,0.8634154720180302,0.8323522487697199
19,4,326.8,0.7253043177480378,0.692797838888603
19,137,245.5,0.8681654430908978,0.8304642137237896
19,77,320.7,0.9046384765574966,0.8854432948414703
20,19,420.8,0.9135886340589636,0.9094176895272081
20,165,132.5,0.6602366911739131,0.6280188494066484
20,101,201.2,0.8369779952663776,0.7951814977118387
21,132,407.6,0.5236854790229394,0.7150966432352229
21,90,396.9,0.8108325139138387,0.7777493810111641
22,30,377.5,0.7003724244829307,0.6503231609105963
22,149,185.4,0.9346098315913159,0.8471176033506398
22,4,257.9,0.9012579842162711,0.81955272628871
22,52,227.8,0.9168893820809134,0.8484918288160153
23,165,396.4,0.8879561417825975,0.8797520874766244
24,166,312.2,0.9233470609528288,0.9218587017595552
25,103,350.2,0.5465899627989043,0.5140058723253493
26,27,341.6,0.8399261196956306,0.7587466759882813
26,32,106.7,0.8493952477304788,0.7842475091993784
26,155,270.7,0.3456131675482297,0.6063602823483735
27,6,359.4,0.8932451134670234,0.8419304679612156
28,169,133.7,0.8592344284450958,0.8549746567339809
29,21,360.8,0.8115981171617188,0.8090304692067346
29,38,343.3,0.8328224791911886,0.8162973869151984
29,137,110.7,0.6713868948590438,0.6319758340846265
30,29,417.7,0.7933240911191256,0.8464767878613623
30,165,379.6,0.7517259587389796,0.8038674519744707
30,76,307.0,0.7623108575936918,0.7651300847170602
31,155,260.0,0.3679713332842105,0.6749661657255158
31,26,116.0,0.8652161229691949,0.8180855162740699
31,160,116.5,0.760798591076961,0.7220761444427864
32,160,107.7,0.8209066342350616,0.7731967450627968
33,32,356.5,0.7552187213398983,0.7744037429107061
34,128,393.3,0.875581191845567,0.8487998532535366
35,77,356.1,0.955513938292889,0.9356230720853733
36,158,344.5,0.9602932324282822,0.9569040746588571
37,130,357.8,0.9518312579838278,0.9377785369346132
38,92,368.0,0.851197644981796,0.8667886888964388
39,164,350.3,0.9489131700991869,0.9231336705329853
39,109,237.0,0.9384907183445649,0.9006300479732047
40,162,413.9,0.735405079232506,0.7477387308205442
41,43,322.6,0.8952489138876292,0.7948454923661606
41,7,519.4,0.8735732427591214,0.7692947847061664
41,117,160.5,0.7423095029648283,0.6700032647295718
42,12,335.1,0.9374838466186978,0.9230696237865611
42,117,58.9,0.7725888794491109,0.7550143462887166
