sensor_1,sensor_2,weight,pearson_corr_flow,spearman_corr_flow,pearson_corr_speed,spearman_corr_speed,pearson_corr_occupy,spearman_corr_occupy
1,2,371.6,0.8711782548179934,0.8517717654870613,0.34816791186659823,0.6051955850377997,0.6612996098999792,0.7872582434686513
2,4,338.1,0.8511726759890125,0.83869880644464,0.46188922657132636,0.7149692728772923,0.6596621067979174,0.812914803177897
3,16,382.4,0.9463831917587265,0.8879571603425973,0.25426764700961285,0.45654662351040637,0.5695136762284762,0.6718785215835186
4,76,429.0,0.9199549455094818,0.88867771036154,0.5376705631533758,0.740071623519162,0.7524690983856729,0.8773925765017885
4,30,236.8,0.758563339813273,0.7669823797254322,0.2266843925963322,0.3347842058941862,0.40810112239282675,0.6796570868936879
4,14,178.6,0.8946988588321063,0.8317538610383762,0.5826907595950039,0.7428307639730296,0.7489403465235968,0.8773942682721549
5,18,402.2,0.9572862693484928,0.9134715655217346,0.5394130850658008,0.6863539471428415,0.5357252842478112,0.8577936375646477
6,149,417.8,0.9196076645838112,0.8732917964528176,0.140140498579821,0.34803283547375036,0.6002096959950419,0.7994335614901604
6,22,254.0,0.9141471819582135,0.8407673297213863,0.059092523894121236,0.282550397392283,0.19524749784383094,0.6342886210166867
6,14,289.3,0.8906950914915754,0.8172848138493183,0.5438254507593198,0.7374334819259581,0.6511291839820359,0.8890219357405699
7,114,323.1,0.9142958433937822,0.873392409592217,0.06937197478697986,0.2844544011677382,0.5244808381475989,0.6891945831670084
7,40,624.1,0.7947897090055601,0.7082274837386848,0.4444661957354683,0.6491718365242805,0.725971292068615,0.8518290691406215
8,117,816.2,0.8246595042973727,0.8005558445064836,0.3743991484222053,0.5014714426423972,0.6535878820219192,0.792190314626892
8,42,759.5,0.8915218791868865,0.8555971731085127,0.5495727791167084,0.6498548405686051,0.6612624905041666,0.8565839430637654
8,41,657.4,0.8299110432465941,0.7410416665782984,0.2976178354697004,0.5019304109538097,0.5323582326087045,0.7593829268323435
8,13,450.3,0.8705834126900703,0.7662737009732696,0.31198549124580105,0.5722678301660948,0.6170160891036988,0.7785121888767708
9,153,310.6,0.7234017951123475,0.7254180015346281,0.33954895039602395,0.5478140446833446,0.6657744478861958,0.8508377286673775
9,129,148.3,0.8616669897934193,0.8724478194245168,0.2441019325491249,0.43837221552669503,0.5493139482493032,0.7535236932757077
9,128,142.2,0.7974745001256589,0.7284547457708275,0.404235087293671,0.42844870532305324,0.7022885993607358,0.7750345628780435
11,28,336.0,0.9391853412815954,0.9081227341841027,0.1503272864052895,0.31264627913176374,0.43462536597931267,0.6101818716012026
12,139,328.8,0.8360823523540355,0.8068021536776753,0.13764618532425252,0.31151626608120747,0.46718340186869245,0.6009899767817121
13,40,327.4,0.9139353592666973,0.7946141838976605,0.5363845449453177,0.7419774581856958,0.7994610836348728,0.9269760067473851
13,169,326.2,0.6862749795652308,0.6076834476534839,0.4761895823637365,0.6938530590091976,0.7874474390060451,0.8464197699545069
13,7,305.5,0.6966163757778157,0.5868173346935327,0.44396024367991627,0.7074289852297523,0.8252178941864801,0.8917454051116702
13,42,319.8,0.80165310639234,0.7007446287965706,0.4659692780297032,0.6727462648580486,0.7590882622576467,0.8858486609015037
13,117,378.5,0.8154415978169675,0.761543127504218,0.5948025093724626,0.696484084402138,0.8422026346458111,0.848367168869548
14,39,340.2,0.9287638670296469,0.8760432274949477,0.3399683709656654,0.473470421054595,0.5975546466440008,0.6880507920268497
14,149,259.0,0.9153768801336726,0.8367265672128261,0.35410738233829087,0.386400663591178,0.7871123602303262,0.8218266772936439
14,76,299.0,0.8656875265604888,0.7974848474199873,0.6582762266436004,0.7292080839002529,0.816902945610444,0.8678421889587169
14,52,127.6,0.9079474475331849,0.8122669087838994,0.6582762266436004,0.7292080839002529,0.816902945610444,0.8678421889587169
