station_start,station_final,weight
WLGT,CPIT,0.9083495097672958
WLGT,KAIT,0.9033633679223254
NBRT,OTAT,0.7378466270291941
NBRT,CHST,0.8555865875842823
NBRT,KAIT,0.9166326946992354
OTAT,NBRT,0.737786953218683
OTAT,PUYT,0.5830812952990586
OTAT,JBTT,0.7118805811783495
NAPT,CPIT,0.9076452954165843
NAPT,CHIT,0.3365074710847442
NAPT,GIST,0.6607818047384484
CPIT,WLGT,0.9075596395738335
CPIT,NAPT,0.9078640814801513
CPIT,CHIT,0.38758492023870567
CHIT,NAPT,0.3373962656686819
CHIT,CPIT,0.3877182303974344
CHST,NBRT,0.8556059438059815
CHST,KAIT,0.8616526600732242
RBCT,RFRT,0.9296770581263105
AUCT,NCPT,0.7300005579435215
AUCT,TAUT,0.919203869615042
AUCT,GBIT,0.6751498553287949
AUCT,MNKT,0.7156858924795555
NCPT,AUCT,0.7312835341724941
NCPT,GBIT,0.5023701267556119
TAUT,AUCT,0.9195367586713645
TAUT,TPTT,0.6035531166485557
TAUT,LOTT,0.9057811101475028
TAUT,MNKT,0.635684583555249
GBIT,AUCT,0.6751498553287949
GBIT,NCPT,0.49387137528225666
GBIT,MNKT,0.6547892869703718
GIST,NAPT,0.6540157381227832
GIST,LOTT,0.6980686458468887
KAIT,WLGT,0.9031607147588485
KAIT,NBRT,0.9179879433125219
KAIT,CHST,0.863596204438763
PUYT,OTAT,0.5891743982159741
PUYT,JBTT,0.7817417263123365
JBTT,OTAT,0.7198713174670912
JBTT,PUYT,0.7826013019058398
TPTT,TAUT,0.6025923635245165
TPTT,MNKT,0.8654319972009146
LOTT,TAUT,0.9059657114598059
LOTT,GIST,0.702946064910976
RFRT,RBCT,0.9270746995943874
MNKT,AUCT,0.7158864229981052
MNKT,TAUT,0.6304538819555741
MNKT,GBIT,0.6550033406145935
MNKT,TPTT,0.8653793669106301
