sensor_A,sensor_B,dist_km,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,z_dist_km,z_pearson_r,z_spearman_r,mahal,outlier_mahal,outlier_z,weight,w_dist,w_corr
RBCT,RFRT,3.3404,31243,0.770235,0.0,0.836304,0.0,1.5996765751293534,1.2264004375565,1.1904935751268133,1.8241295418570425,False,False,0.9332514896934888,1.0,0.7775049656449622
AUCT,MNKT,34.1919,31254,0.07431,0.0,0.149128,0.0,1.5363355975709465,0.1455960071560437,0.0672079588600091,1.621615304183912,False,False,0.703490651006805,0.9772728739363647,0.0646654641711653
AUCT,GBIT,95.0423,31289,0.011179,0.047988,0.214233,0.0,1.411404108961962,0.2700569872201995,0.0519502456905165,1.7322470281209483,False,False,0.585204010059539,0.8360057286564844,0.0
GIST,LOTT,125.6596,31283,0.172722,0.0,0.663083,0.0,1.3485439656237446,0.0484204660516307,0.8734564297394142,2.966066086489639,False,False,0.561372859630287,0.7310458668061809,0.1654691762198684
WLGT,CPIT,128.9822,31321,0.853771,0.0,0.861226,0.0,1.34172236109769,1.391089297714573,1.2361069807609153,1.8095013031493792,False,False,0.7621291819836743,0.7188684986769178,0.863070776366106
GBIT,MNKT,129.1722,31229,-0.011885,0.035706,-0.00708,0.210879,1.3413322735578268,0.3155270105716384,0.3531071189311024,1.5590340751333014,False,False,0.5029348919330064,0.718168695351435,0.0007226839566731
NAPT,GIST,130.3107,31290,-0.045662,0.0,0.546629,0.0,1.3389948279571189,0.3821174102742724,0.6603168927956016,3.6379470052053446,False,False,0.5103743678166139,0.7139689725836917,0.035320290026766
NBRT,KAIT,144.8292,31322,0.916086,0.0,0.944028,0.0,1.3091870071807632,1.5139415568693129,1.3876550592985486,1.838008102623546,False,False,0.7397427684485712,0.6595319968921629,0.926901235413524
AUCT,TAUT,152.8068,31318,0.9406,0.0,0.941807,0.0,1.2928082579280542,1.5622702141896896,1.3835900816116318,1.9070932048138016,False,False,0.7260165500410096,0.629161974209424,0.9520105603147094
WLGT,KAIT,153.9542,31321,0.89656,0.0,0.911785,0.0,1.290452539805742,1.4754466004020828,1.3286424183443577,1.8198322670811744,False,False,0.7094167336041279,0.6247809048859221,0.906900333946608
TAUT,MNKT,161.7105,31258,0.029113,0.0,0.076262,0.0,1.2745281398823582,0.234700613703693,0.2005707072323094,1.3987413999608398,False,False,0.4221063361651692,0.5951362452973263,0.0183698815234692
