sensor_1,sensor_2,pearson_r,pearson_p,spearman_r,spearman_p,n_obs
AUCT,CHIT,0.342613,0.0,0.34342,0.0,31318
AUCT,CHST,-0.160779,0.0,-0.164672,0.0,31277
AUCT,CPIT,0.500366,0.0,0.50085,0.0,31318
AUCT,GBIT,0.011179,0.047988,0.214233,0.0,31289
AUCT,GIST,-0.107517,0.0,0.309543,0.0,31287
AUCT,JBTT,-0.407222,0.0,-0.409347,0.0,5057
AUCT,KAIT,0.269098,0.0,0.274664,0.0,31318
AUCT,LOTT,0.860706,0.0,0.861614,0.0,31310
AUCT,MNKT,0.07431,0.0,0.149128,0.0,31254
AUCT,NAPT,0.658879,0.0,0.65626,0.0,31317
AUCT,NBRT,0.198147,0.0,0.206367,0.0,31318
AUCT,NCPT,0.855683,0.0,0.914162,0.0,31292
AUCT,OTAT,-0.230333,0.0,-0.23147,0.0,31315
AUCT,PUYT,-0.606674,0.0,-0.612921,0.0,31313
AUCT,RBCT,0.697075,0.0,0.693276,0.0,31316
AUCT,RFRT,0.441242,0.0,0.460284,0.0,31241
AUCT,TAUT,0.9406,0.0,0.941807,0.0,31318
AUCT,TPTT,0.284304,0.0,0.283697,0.0,6213
AUCT,WLGT,0.263086,0.0,0.26933,0.0,31317
CHIT,CHST,-0.875557,0.0,-0.877368,0.0,31281
CHIT,CPIT,0.964489,0.0,0.963921,0.0,31322
CHIT,GBIT,0.068943,0.0,0.167164,0.0,31293
CHIT,GIST,0.109683,0.0,0.59038,0.0,31291
CHIT,JBTT,-0.874692,0.0,-0.877993,0.0,5057
CHIT,KAIT,0.942597,0.0,0.951267,0.0,31322
CHIT,LOTT,0.659906,0.0,0.657802,0.0,31314
CHIT,MNKT,-0.452882,0.0,-0.729515,0.0,31258
CHIT,NAPT,0.886932,0.0,0.887223,0.0,31321
CHIT,NBRT,0.931315,0.0,0.953165,0.0,31322
CHIT,NCPT,0.124647,0.0,0.132813,0.0,31296
CHIT,OTAT,0.750736,0.0,0.749626,0.0,31319
CHIT,PUYT,-0.81367,0.0,-0.820666,0.0,31317
CHIT,RBCT,0.299351,0.0,0.301076,0.0,31320
CHIT,RFRT,0.122909,0.0,0.143417,0.0,31245
CHIT,TAUT,0.463562,0.0,0.461763,0.0,31322
CHIT,TPTT,-0.699254,0.0,-0.699496,0.0,6213
CHIT,WLGT,0.847127,0.0,0.856556,0.0,31321
CHST,CPIT,-0.852308,0.0,-0.85096,0.0,31281
CHST,GBIT,-0.049687,0.0,-0.124522,0.0,31252
CHST,GIST,-0.190724,0.0,-0.558233,0.0,31250
CHST,JBTT,0.95768,0.0,0.956981,0.0,5016
CHST,KAIT,-0.878333,0.0,-0.886999,0.0,31281
CHST,LOTT,-0.501125,0.0,-0.500997,0.0,31273
CHST,MNKT,0.534479,0.0,0.877764,0.0,31217
CHST,NAPT,-0.745517,0.0,-0.749506,0.0,31280
CHST,NBRT,-0.890171,0.0,-0.909195,0.0,31281
CHST,NCPT,0.039329,0.0,0.040992,0.0,31255
CHST,OTAT,-0.779185,0.0,-0.77977,0.0,31278
CHST,PUYT,0.835326,0.0,0.837484,0.0,31276
CHST,RBCT,-0.103683,0.0,-0.105313,0.0,31279
CHST,RFRT,0.019379,0.000618,-0.005212,0.35721,31204
CHST,TAUT,-0.282468,0.0,-0.282479,0.0,31281
CHST,TPTT,0.857394,0.0,0.855501,0.0,6172
CHST,WLGT,-0.757893,0.0,-0.770418,0.0,31280
CPIT,GBIT,0.057968,0.0,0.20976,0.0,31293
CPIT,GIST,0.105083,0.0,0.632082,0.0,31291
CPIT,JBTT,-0.878435,0.0,-0.879735,0.0,5057
CPIT,KAIT,0.940065,0.0,0.9472,0.0,31322
CPIT,LOTT,0.77815,0.0,0.77516,0.0,31314
CPIT,MNKT,-0.414945,0.0,-0.65046,0.0,31258
CPIT,NAPT,0.946724,0.0,0.946582,0.0,31321
CPIT,NBRT,0.901096,0.0,0.921089,0.0,31322
CPIT,NCPT,0.281054,0.0,0.302204,0.0,31296
CPIT,OTAT,0.653526,0.0,0.650928,0.0,31319
CPIT,PUYT,-0.866417,0.0,-0.871479,0.0,31317
CPIT,RBCT,0.354027,0.0,0.35336,0.0,31320
CPIT,RFRT,0.144197,0.0,0.167563,0.0,31245
CPIT,TAUT,0.614958,0.0,0.611587,0.0,31322
CPIT,TPTT,-0.59266,0.0,-0.591901,0.0,6213
CPIT,WLGT,0.853771,0.0,0.861226,0.0,31321
GBIT,GIST,0.080165,0.0,0.284011,0.0,31262
GBIT,JBTT,-0.532357,0.0,-0.532907,0.0,5057
GBIT,KAIT,0.068851,0.0,0.187001,0.0,31293
GBIT,LOTT,0.069066,0.0,0.2967,0.0,31285
GBIT,MNKT,-0.011885,0.035706,-0.00708,0.210879,31229
GBIT,NAPT,0.046855,0.0,0.229466,0.0,31292
GBIT,NBRT,0.018814,0.000874,0.083494,0.0,31293
GBIT,NCPT,0.044008,0.0,0.254666,0.0,31267
GBIT,OTAT,-0.017468,0.002002,-0.04246,0.0,31290
GBIT,PUYT,-0.049142,0.0,-0.19617,0.0,31288
GBIT,RBCT,-0.085378,0.0,-0.023993,2.2e-05,31291
GBIT,RFRT,-0.088363,0.0,-0.085095,0.0,31216
GBIT,TAUT,0.060352,0.0,0.280869,0.0,31293
GBIT,TPTT,0.140775,0.0,0.139755,0.0,6213
GBIT,WLGT,0.07368,0.0,0.218551,0.0,31292
GIST,JBTT,-0.081083,0.0,-0.491107,0.0,5053
GIST,KAIT,0.149082,0.0,0.643551,0.0,31291
GIST,LOTT,0.172722,0.0,0.663083,0.0,31283
GIST,MNKT,-0.085631,0.0,-0.31287,0.0,31227
GIST,NAPT,-0.045662,0.0,0.546629,0.0,31290
GIST,NBRT,0.042657,0.0,0.472049,0.0,31291
GIST,NCPT,0.04897,0.0,0.368672,0.0,31265
GIST,OTAT,-0.023641,2.9e-05,0.222425,0.0,31288
GIST,PUYT,-0.12392,0.0,-0.608924,0.0,31286
GIST,RBCT,-0.268308,0.0,0.08544,0.0,31289
GIST,RFRT,-0.585963,0.0,-0.181735,0.0,31214
GIST,TAUT,0.073766,0.0,0.522869,0.0,31291
GIST,TPTT,-0.025348,0.045795,-0.04449,0.000454,6209
GIST,WLGT,0.255503,0.0,0.692402,0.0,31290
JBTT,KAIT,-0.872875,0.0,-0.874469,0.0,5057
JBTT,LOTT,-0.664014,0.0,-0.664542,0.0,5049
JBTT,MNKT,0.796405,0.0,0.793472,0.0,4993
JBTT,NAPT,-0.815193,0.0,-0.822256,0.0,5057
JBTT,NBRT,-0.753744,0.0,-0.860075,0.0,5057
JBTT,NCPT,-0.191881,0.0,-0.19192,0.0,5057
JBTT,OTAT,-0.621967,0.0,-0.624597,0.0,5057
JBTT,PUYT,0.921619,0.0,0.946752,0.0,5057
JBTT,RBCT,-0.340953,0.0,-0.330292,0.0,5057
JBTT,RFRT,-0.100616,0.0,-0.121982,0.0,4999
JBTT,TAUT,-0.490861,0.0,-0.491499,0.0,5057
JBTT,TPTT,0.724543,0.0,0.720907,0.0,3469
JBTT,WLGT,-0.799127,0.0,-0.80818,0.0,5057
KAIT,LOTT,0.6133,0.0,0.616933,0.0,31314
KAIT,MNKT,-0.47842,0.0,-0.757726,0.0,31258
KAIT,NAPT,0.853994,0.0,0.862418,0.0,31321
KAIT,NBRT,0.916086,0.0,0.944028,0.0,31322
KAIT,NCPT,0.076499,0.0,0.085223,0.0,31296
KAIT,OTAT,0.771576,0.0,0.777748,0.0,31319
KAIT,PUYT,-0.76608,0.0,-0.780033,0.0,31317
KAIT,RBCT,0.218394,0.0,0.224725,0.0,31320
KAIT,RFRT,0.068042,0.0,0.097787,0.0,31245
KAIT,TAUT,0.409494,0.0,0.411357,0.0,31322
KAIT,TPTT,-0.743419,0.0,-0.742027,0.0,6213
KAIT,WLGT,0.89656,0.0,0.911785,0.0,31321
LOTT,MNKT,-0.121249,0.0,-0.155472,0.0,31250
LOTT,NAPT,0.829652,0.0,0.829209,0.0,31313
LOTT,NBRT,0.494855,0.0,0.506857,0.0,31314
LOTT,NCPT,0.758203,0.0,0.807525,0.0,31288
LOTT,OTAT,0.066365,0.0,0.066373,0.0,31311
LOTT,PUYT,-0.816121,0.0,-0.820877,0.0,31309
LOTT,RBCT,0.562469,0.0,0.559747,0.0,31312
LOTT,RFRT,0.186957,0.0,0.232576,0.0,31237
LOTT,TAUT,0.955667,0.0,0.954241,0.0,31314
LOTT,TPTT,-0.042023,0.000923,-0.041909,0.000953,6213
LOTT,WLGT,0.598084,0.0,0.602843,0.0,31313
MNKT,NAPT,-0.346087,0.0,-0.53484,0.0,31257
MNKT,NBRT,-0.499107,0.0,-0.832437,0.0,31258
MNKT,NCPT,0.203156,0.0,0.387395,0.0,31232
MNKT,OTAT,-0.547165,0.0,-0.88675,0.0,31255
MNKT,PUYT,0.328518,0.0,0.564005,0.0,31253
MNKT,RBCT,0.063876,0.0,0.054528,0.0,31256
MNKT,RFRT,0.036998,0.0,0.011304,0.045818,31214
MNKT,TAUT,0.029113,0.0,0.076262,0.0,31258
MNKT,TPTT,0.987451,0.0,0.987391,0.0,6149
MNKT,WLGT,-0.445874,0.0,-0.651014,0.0,31257
NAPT,NBRT,0.808878,0.0,0.827314,0.0,31321
NAPT,NCPT,0.402113,0.0,0.430058,0.0,31295
NAPT,OTAT,0.52571,0.0,0.524833,0.0,31318
NAPT,PUYT,-0.854386,0.0,-0.863653,0.0,31316
NAPT,RBCT,0.556182,0.0,0.554211,0.0,31319
NAPT,RFRT,0.387886,0.0,0.403722,0.0,31244
NAPT,TAUT,0.701235,0.0,0.700411,0.0,31321
NAPT,TPTT,-0.454307,0.0,-0.456566,0.0,6213
NAPT,WLGT,0.812679,0.0,0.819628,0.0,31320
NBRT,NCPT,-0.048859,0.0,-0.048197,0.0,31296
NBRT,OTAT,0.857594,0.0,0.873651,0.0,31319
NBRT,PUYT,-0.730905,0.0,-0.752845,0.0,31317
NBRT,RBCT,0.203595,0.0,0.209528,0.0,31320
NBRT,RFRT,0.118922,0.0,0.128564,0.0,31245
NBRT,TAUT,0.290067,0.0,0.29822,0.0,31322
NBRT,TPTT,-0.825185,0.0,-0.823777,0.0,6213
NBRT,WLGT,0.800932,0.0,0.826161,0.0,31321
NCPT,OTAT,-0.459267,0.0,-0.488186,0.0,31293
NCPT,PUYT,-0.418986,0.0,-0.453364,0.0,31291
NCPT,RBCT,0.521042,0.0,0.550609,0.0,31294
NCPT,RFRT,0.195764,0.0,0.236299,0.0,31219
NCPT,TAUT,0.869667,0.0,0.928492,0.0,31296
NCPT,TPTT,0.512627,0.0,0.511278,0.0,6213
NCPT,WLGT,0.100714,0.0,0.110844,0.0,31295
OTAT,PUYT,-0.400938,0.0,-0.40623,0.0,31314
OTAT,RBCT,-0.054388,0.0,-0.051191,0.0,31317
OTAT,RFRT,0.039526,0.0,0.033713,0.0,31242
OTAT,TAUT,-0.163054,0.0,-0.163234,0.0,31319
OTAT,TPTT,-0.935634,0.0,-0.93523,0.0,6213
OTAT,WLGT,0.66631,0.0,0.673218,0.0,31318
PUYT,RBCT,-0.426757,0.0,-0.428611,0.0,31315
