sensor_i;sensor_j;pearson_r;dist_hxc;sea_dist_km_norm;
AUCT;GBIT;0.0111794027004607;0.884287618197024;0.0258522460531899;
AUCT;LOTT;0.8607060042992707;0.0881911764150193;0.1913273980687586;
AUCT;NCPT;0.8556828807140057;0.1374177618710927;0.2046324847448912;
AUCT;TAUT;0.9405998608136256;0.0269121644204081;0.1226239660942379;
CHIT;CPIT;0.964488738088916;0.1125160357963052;1.0;
CHIT;OTAT;0.7507363168661565;0.1108480058751092;0.9444740040690752;
CHIT;WLGT;0.8471274629642271;0.2372297233614287;0.9535322461209949;
CHST;JBTT;0.957679841296471;0.1022004935566851;0.2415984072001067;
CHST;MNKT;0.5344785075983063;0.0792734759621367;0.3157531516174915;
CHST;PUYT;0.8353257539366552;0.0477852099795948;0.3915720346477703;
CHST;TPTT;0.8573936600986211;0.0235278427110957;0.2009199461557422;
CHST;WLGT;-0.757892619994677;0.2888287706862212;0.2567898430124481;
CPIT;GIST;0.1050834523957086;0.244783097492149;0.1457254754003226;
CPIT;KAIT;0.9400645969915512;0.0400175939192113;0.1889576525390479;
CPIT;NAPT;0.9467240538735842;0.2323868641785383;0.1503662621342394;
CPIT;NBRT;0.9010962539650508;0.3686904443246105;0.2267794186277478;
CPIT;WLGT;0.8537705143884441;0.3516136159851531;0.1005585643644566;
GBIT;LOTT;0.0690664113108779;0.9565825087093114;0.1654751520155686;
GBIT;NCPT;0.044007751301542;1.0;0.1937911317005886;
GBIT;TAUT;0.0603521078362309;0.9116360517851588;0.0967717200410479;
GIST;LOTT;0.1727221880189755;0.248052780192074;0.2020399282807998;
GIST;NAPT;-0.0456615833671488;0.1395321164861463;0.0566110362237561;
JBTT;OTAT;-0.6219668271357969;0.0409902245290429;0.4190773651189021;
JBTT;PUYT;0.9216186773536016;0.0524610511431292;0.1499736274476636;
KAIT;NBRT;0.9160863509583802;0.3266235355524184;0.0378217660886998;
KAIT;OTAT;0.7715755964739717;0.0384291626561404;0.1924221562312721;
KAIT;WLGT;0.8965600475968794;0.309549599544333;0.1424898986600427;
LOTT;RBCT;0.5624694469161834;0.1382947387972257;0.8054064972198829;
LOTT;RFRT;0.1869569619340657;0.2891105689351481;0.8054064972198828;
LOTT;TAUT;0.9556665192948808;0.0614875409167129;0.1144708086537833;
MNKT;NCPT;0.2031561427582492;0.1940750257028696;0.2227524185809911;
MNKT;TPTT;0.9874505669677174;0.0606239353216715;0.1269172548500307;
NAPT;WLGT;0.8126785792872169;0.1180830465379766;0.250924826498696;
NBRT;OTAT;0.8575942255077172;0.36709408815101;0.230243922319972;
NBRT;WLGT;0.800932475947465;0.0150640607182881;0.1519793326926746;
NCPT;RBCT;0.5210418246659384;0.1874745755805097;0.6944448892624544;
NCPT;RFRT;0.195764148139354;0.3377560719015573;0.6944448892624544;
OTAT;PUYT;-0.4009379808674502;0.0098597734945144;0.2691037376712385;
RBCT;RFRT;0.7702350807342413;0.1496169248789208;0.0;
TPTT;WLGT;-0.6646701878247091;0.265625314270846;0.2069072684617143;
