Station code,Location,Type,Longitude,Latitude,Start
WLGT,40,Coastal sea level gauge,174.7799,-41.2845,2021-04-15T21:50:00Z
NBRT,40,Coastal sea level gauge,172.7350,-43.5060,2021-05-14T02:07:00Z
OTAT,40,Coastal sea level gauge,170.6294,-45.8143,2021-05-26T02:19:00Z
NAPT,40,Coastal sea level gauge,176.9201,-39.4757,2021-06-02T04:55:00Z
CPIT,40,Coastal sea level gauge,176.2317,-40.8993,2021-11-23T02:15:00Z
CHIT,40,Coastal sea level gauge,-176.3675,-44.0240,2021-11-24T21:30:00Z
CHST,40,Coastal sea level gauge,171.4341,-41.9030,2021-12-15T08:29:00Z
RBCT,40,Coastal sea level gauge,-177.8944,-29.2800,2022-05-25T01:57:47Z
AUCT,40,Coastal sea level gauge,174.7865,-36.8314,2023-03-29T22:09:33Z
NCPT,40,Coastal sea level gauge,173.0487,-34.4148,2023-06-01T21:01:00Z
TAUT,40,Coastal sea level gauge,176.1812,-37.6411,2024-03-20T23:16:00Z
GBIT,40,Coastal sea level gauge,175.4880,-36.1890,2024-09-10T21:39:00Z
GIST,40,Coastal sea level gauge,178.0229,-38.6754,2024-12-13T00:18:30Z
KAIT,40,Coastal sea level gauge,173.7028,-42.4129,2025-01-29T02:49:00Z
PUYT,40,Coastal sea level gauge,166.5894,-46.0848,2025-05-23T03:56:01Z
JBTT,40,Coastal sea level gauge,168.6157,-43.9737,2025-06-27T04:16:12Z
TPTT,40,Coastal sea level gauge,174.0385,-39.0567,2025-08-20T01:00:00Z
LOTT,40,Coastal sea level gauge,178.1590,-37.5504,2025-08-25T06:02:00Z
RFRT,40,Coastal sea level gauge,-177.9038,-29.2511,2026-02-22T21:58:00Z
MNKT,40,Coastal sea level gauge,174.5117,-37.0466,2026-05-20T23:44:00Z
